
  vinext dev  (Vite 8.0.13)

  ➜  Local:   http://localhost:49734/
  ➜  Debug:   http://localhost:49734/__debug
 GET /?visualFixture=ready-v1 200 in 1.1s (compile: 1786127052.3s, render: 1.1s)
 GET /?visualFixture=ready-v1 200 in 64ms (compile: 1786127052.3s, render: 29ms)
 GET /places/alpha?visualFixture=ready-v1 200 in 81ms (compile: 1786127052.3s, render: 42ms)
 GET /places/alpha?visualFixture=ready-v1 200 in 63ms (compile: 1786127052.3s, render: 28ms)
 GET /?visualFixture=ready-v1 200 in 68ms (compile: 1786127052.3s, render: 33ms)
 GET /?visualFixture=ready-v1 200 in 68ms (compile: 1786127052.3s, render: 36ms)
 GET /?visualFixture=unavailable-v1 200 in 63ms (compile: 1786127052.3s, render: 32ms)
 GET /?visualFixture=ready-v1 200 in 64ms (compile: 1786127052.3s, render: 29ms)
 GET /places/alpha?visualFixture=ready-v1 200 in 60ms (compile: 1786127052.3s, render: 25ms)
 GET /places/alpha?visualFixture=ready-v1 200 in 73ms (compile: 1786127052.3s, render: 34ms)
 GET /?visualFixture=ready-v1 200 in 66ms (compile: 1786127052.3s, render: 35ms)
 GET /?visualFixture=ready-v1 200 in 66ms (compile: 1786127052.3s, render: 32ms)
 GET /?visualFixture=unavailable-v1 200 in 69ms (compile: 1786127052.3s, render: 36ms)
 GET /?visualFixture=ready-v1 200 in 67ms (compile: 1786127052.3s, render: 34ms)
 GET /places/alpha?visualFixture=ready-v1 200 in 66ms (compile: 1786127052.3s, render: 28ms)
 GET /places/alpha?visualFixture=ready-v1 200 in 67ms (compile: 1786127052.3s, render: 26ms)
 GET /?visualFixture=ready-v1 200 in 66ms (compile: 1786127052.3s, render: 33ms)
 GET /?visualFixture=ready-v1 200 in 66ms (compile: 1786127052.3s, render: 30ms)
 GET /?visualFixture=unavailable-v1 200 in 75ms (compile: 1786127052.3s, render: 42ms)
 GET /?visualFixture=ready-v1 200 in 64ms (compile: 1786127052.3s, render: 31ms)
 GET /places/alpha?visualFixture=ready-v1 200 in 64ms (compile: 1786127052.3s, render: 26ms)
 GET /places/alpha?visualFixture=ready-v1 200 in 60ms (compile: 1786127052.3s, render: 28ms)
 GET /?visualFixture=ready-v1 200 in 59ms (compile: 1786127052.3s, render: 29ms)
 GET /?visualFixture=ready-v1 200 in 59ms (compile: 1786127052.3s, render: 30ms)
 GET /?visualFixture=unavailable-v1 200 in 67ms (compile: 1786127052.3s, render: 34ms)
 GET /?visualFixture=ready-v1 200 in 73ms (compile: 1786127052.3s, render: 40ms)
 GET /places/alpha?visualFixture=ready-v1 200 in 67ms (compile: 1786127052.3s, render: 32ms)
 GET /places/alpha?visualFixture=ready-v1 200 in 67ms (compile: 1786127052.3s, render: 29ms)
 GET /?visualFixture=ready-v1 200 in 58ms (compile: 1786127052.3s, render: 29ms)
 GET /?visualFixture=ready-v1 200 in 62ms (compile: 1786127052.3s, render: 31ms)
 GET /?visualFixture=unavailable-v1 200 in 69ms (compile: 1786127052.3s, render: 37ms)
 GET /?visualFixture=ready-v1 200 in 59ms (compile: 1786127052.3s, render: 27ms)
 GET /places/alpha?visualFixture=ready-v1 200 in 61ms (compile: 1786127052.3s, render: 27ms)
 GET /places/alpha?visualFixture=ready-v1 200 in 61ms (compile: 1786127052.3s, render: 25ms)
 GET /?visualFixture=ready-v1 200 in 63ms (compile: 1786127052.3s, render: 31ms)
 GET /?visualFixture=ready-v1 200 in 59ms (compile: 1786127052.3s, render: 27ms)
 GET /?visualFixture=unavailable-v1 200 in 65ms (compile: 1786127052.3s, render: 32ms)
 GET /?visualFixture=ready-v1 200 in 62ms (compile: 1786127052.3s, render: 28ms)
 GET /places/alpha?visualFixture=ready-v1 200 in 68ms (compile: 1786127052.3s, render: 32ms)
 GET /places/alpha?visualFixture=ready-v1 200 in 64ms (compile: 1786127052.3s, render: 28ms)
 GET /?visualFixture=ready-v1 200 in 68ms (compile: 1786127052.3s, render: 36ms)
 GET /?visualFixture=ready-v1 200 in 64ms (compile: 1786127052.3s, render: 31ms)
 GET /?visualFixture=unavailable-v1 200 in 73ms (compile: 1786127052.3s, render: 40ms)
 GET /?visualFixture=ready-v1 200 in 70ms (compile: 1786127052.3s, render: 29ms)
 GET /places/alpha?visualFixture=ready-v1 200 in 62ms (compile: 1786127052.3s, render: 26ms)
 GET /places/alpha?visualFixture=ready-v1 200 in 62ms (compile: 1786127052.3s, render: 27ms)
 GET /?visualFixture=ready-v1 200 in 60ms (compile: 1786127052.3s, render: 28ms)
 GET /?visualFixture=ready-v1 200 in 74ms (compile: 1786127052.3s, render: 39ms)
 GET /?visualFixture=unavailable-v1 200 in 81ms (compile: 1786127052.3s, render: 49ms)
 GET /places/%3Cimg%20src=x%20onerror=alert(1)%3E?visualFixture=ready-v1 307 in 44ms
 GET /?placeNotFound=1 200 in 69ms (compile: 1786127052.3s, render: 37ms)
